Atores (mais bem pago para o menos bem pago)
Harrison Ford
Anthony Daniels
Andy Serkis
Leonardo DiCaprio
Samuel L. Jackson
Scarlett Johansson
Stellan Skarsgard
Jeremy Renner
Chris Evans
Morgan Freeman
Michael Caine
Gary Oldman
Liam Neeson
Don Cheadle
Idris Elba
Anne Hathaway
Eddie Murphy
Cameron Diaz
Stanley Tucci
Woody Harrelson
Elizabeth Banks
Philip Seymour Hoffman
Johnny Depp
Orlando Bloom
Tom Hanks
Helena Bonham Carter
Ralph Fiennes
Emma Watson
Daniel Radcliffe
Ian McKellen
Cate Blanchett
Bradley Cooper
Sandra Bullock
Will Smith
Bruce Willis
Robert DeNiro
Ben Stiller
Dustin Hoffman
Jim Carrey
Jonah Hill
Robin Williams
Owen Wilson
Tommy Lee Jones
Mark Wahlberg
Tom Cruise
Matt Damon
Brad Pitt
Julia Roberts
Adam Sandler
